section_key,section_name,section type,Brand,Sub.Group,MPN,Option name,Cores,Threads,Freq(GHz),MaxMemSpeed(MT/s),SRAM_Cache(MB),DRAM_Cache(GB),BBU,Freq(MT/s),Capacity(GB),FormFactor(/mm),Interface,HDD_RPM,PCIeVersion,PCIeLane,Spec,Port,Connector,XCVR_Mode
CPU,CPU,single,Intel,Sierra Forest SP,6780E,"Intel Xeon 6780E, 144C/144T, 2.2GHz, 330W",144,144,2.2,6400,108,,,,,,,,,,,,,
CPU,CPU,single,Intel,Sierra Forest SP,6740E,"Intel Xeon 6740E, 96C/96T, 2.4GHz, 250W",96,96,2.4,6400,96,,,,,,,,,,,,,
CPU,CPU,single,AMD,Genoa,9754,"AMD EPYC 9754, 128C, 2.25GHz, 360W",128,256,2.25,4800,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Genoa,9734,"AMD EPYC 9734, 112C, 2.2GHz, 340W",112,224,2.2,4800,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Genoa,9654,"AMD EPYC 9654, 96C, 2.4GHz, 360W",96,192,2.4,4800,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Genoa,9634,"AMD EPYC 9634, 84C, 2.25GHz, 290W",84,168,2.25,4800,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Genoa,9554,"AMD EPYC 9554, 64C, 3.1GHz, 360W",64,128,3.1,4800,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Genoa,9534,"AMD EPYC 9534, 64C, 2.45GHz, 280W",64,128,2.45,4800,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Genoa,9454,"AMD EPYC 9454, 48C, 2.75GHz, 290W",48,96,2.75,4800,384,,,,,,,,,,,,,
CPU,CPU,single,AMD,Genoa,9354,"AMD EPYC 9354, 32C, 3.25GHz, 280W",32,64,3.25,4800,384,,,,,,,,,,,,,
CPU,CPU,single,AMD,Genoa,9334,"AMD EPYC 9334, 32C, 2.7GHz, 210W",32,64,2.7,4800,384,,,,,,,,,,,,,
CPU,CPU,single,AMD,Genoa,9254,"AMD EPYC 9254, 24C, 2.9GHz, 200W",24,48,2.9,4800,384,,,,,,,,,,,,,
CPU,CPU,single,AMD,Genoa,9224,"AMD EPYC 9224, 24C, 2.5GHz, 200W",24,48,2.5,4800,1152,,,,,,,,,,,,,
CPU,CPU,single,AMD,Genoa,9124,"AMD EPYC 9124, 16C, 3GHz, 200W",16,32,3,4800,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Genoa,9654P,"AMD EPYC 9654P, 96C, 2.4GHz, 360W",96,192,2.4,4800,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Genoa,9554P,"AMD EPYC 9554P, 64C, 3.1GHz, 360W",64,128,3.1,4800,384,,,,,,,,,,,,,
CPU,CPU,single,AMD,Genoa,9454P,"AMD EPYC 9454P, 48C, 2.75GHz, 290W",48,96,2.75,4800,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Genoa,9354P,"AMD EPYC 9354P, 32C, 3.25GHz, 280W",32,64,3.25,4800,384,,,,,,,,,,,,,
CPU,CPU,single,AMD,Genoa,9474F,"AMD EPYC 9474F, 48C, 3.6GHz, 360W",48,96,3.6,4800,512,,,,,,,,,,,,,
CPU,CPU,single,AMD,Genoa,9374F,"AMD EPYC 9374F, 32C, 3.85GHz, 320W",32,64,3.85,4800,384,,,,,,,,,,,,,
CPU,CPU,single,AMD,Genoa,9274F,"AMD EPYC 9274F, 24C, 4.05GHz, 320W",24,48,4.05,4800,320,,,,,,,,,,,,,
CPU,CPU,single,AMD,Genoa,9174F,"AMD EPYC 9174F, 16C, 4.1GHz, 320W",16,32,4.1,4800,384,,,,,,,,,,,,,
CPU,CPU,single,AMD,Genoa,9684X,"AMD EPYC 9684X, 96C, 2.55GHz, 400W",96,192,2.55,4800,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Genoa,9384X,"AMD EPYC 9384X, 32C, 3.1GHz, 320W",32,64,3.1,4800,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Genoa,9184X,"AMD EPYC 9184X, 16C, 3.55GHz, 320W",16,32,3.55,4800,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9965,"AMD EPYC 9965, 192C, 2.25GHz, 500W",192,384,2.25,6000,64,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9845,"AMD EPYC 9845, 160C, 2.1GHz, 390W",160,320,2.1,6000,64,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9825,"AMD EPYC 9825, 144C, 2.2GHz, 390W",144,288,2.2,6000,64,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9755,"AMD EPYC 9755, 128C, 2.7GHz, 500W",128,256,2.7,6000,64,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9745,"AMD EPYC 9745, 128C, 2.4GHz, 400W",128,256,2.4,6000,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9655,"AMD EPYC 9655, 96C, 2.6GHz, 400W",96,192,2.6,6000,512,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9645,"AMD EPYC 9645, 96C, 2.3GHz, 320W",96,192,2.3,6000,64,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9565,"AMD EPYC 9565, 72C, 3.15GHz, 400W",72,144,3.15,6000,128,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9555,"AMD EPYC 9555, 64C, 3.2GHz, 360W",64,128,3.2,6000,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9535,"AMD EPYC 9535, 64C, 2.4GHz, 300W",64,128,2.4,6000,128,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9455,"AMD EPYC 9455, 48C, 3.15GHz, 300W",48,96,3.15,6000,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9365,"AMD EPYC 9365, 36C, 3.4GHz, 300W",36,72,3.4,6000,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9355,"AMD EPYC 9355, 32C, 3.55GHz, 280W",32,64,3.55,6000,192,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9335,"AMD EPYC 9335, 32C, 3GHz, 210W",32,64,3,6000,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9255,"AMD EPYC 9255, 24C, 3.2GHz, 200W",24,48,3.2,6000,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9135,"AMD EPYC 9135, 16C, 3.65GHz, 200W",16,32,3.65,6000,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9115,"AMD EPYC 9115, 16C, 2.6GHz, 125W",16,32,2.6,6000,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9015,"AMD EPYC 9015, 8C, 3.6GHz, 125W",8,16,3.6,6000,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9575F,"AMD EPYC 9575F, 64C, 3.3GHz, 400W",64,128,3.3,6400,128,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9475F,"AMD EPYC 9475F, 48C, 3.65GHz, 400W",48,96,3.65,6000,128,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9375F,"AMD EPYC 9375F, 32C, 3.8GHz, 320W",32,64,3.8,6000,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9275F,"AMD EPYC 9275F, 24C, 4.1GHz, 320W",24,48,4.1,6000,768,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9175F,"AMD EPYC 9175F, 16C, 4.2GHz, 320W",16,32,4.2,6000,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9655P,"AMD EPYC 9655P, 96C, 2.6GHz, 400W",96,192,2.6,6000,768,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9555P,"AMD EPYC 9555P, 64C, 3.2GHz, 360W",64,128,3.2,6000,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9455P,"AMD EPYC 9455P, 48C, 3.15GHz, 300W",48,96,3.15,6000,256,,,,,,,,,,,,,
CPU,CPU,single,AMD,Turin,9355P,"AMD EPYC 9355P, 32C, 3.55GHz, 280W",32,64,3.55,6000,256,,,,,,,,,,,,,
RDIMM,DIMM / Memory,single,SAMSUNG,DDR5,M321R4GA3PB0-CWM,DDR5 5600MT/s 32GB,,,,,,,,5600,32 ,,,,,,,,,
RDIMM,DIMM / Memory,single,SAMSUNG,DDR5,M321R8GA0PB0-CWM,DDR5 5600MT/s 64GB,,,,,,,,5600,64 ,,,,,,,,,
RDIMM,DIMM / Memory,single,SAMSUNG,DDR5,M321RYGA0PB0-CWM,DDR5 5600MT/s 96GB,,,,,,,,5600,96 ,,,,,,,,,
RDIMM,DIMM / Memory,single,SAMSUNG,DDR5,M321R4GA3EB0-CWM,DDR5 5600MT/s 32GB,,,,,,,,5600,32 ,,,,,,,,,
RDIMM,DIMM / Memory,single,SAMSUNG,DDR5,M321R8GA0EB0-CWM,DDR5 5600MT/s 64GB,,,,,,,,5600,64 ,,,,,,,,,
RDIMM,DIMM / Memory,single,SAMSUNG,DDR5,M321RAJA0MB0-CWM,DDR5 5600MT/s 128GB,,,,,,,,5600,128 ,,,,,,,,,
RDIMM,DIMM / Memory,single,SAMSUNG,DDR5,M321RYGA0PB2-CCP,DDR5 6400MT/s 96GB,,,,,,,,6400,96 ,,,,,,,,,
RDIMM,DIMM / Memory,single,SAMSUNG,DDR5,M321R4GA3EB2-CCP,DDR5 6400MT/s 32GB,,,,,,,,6400,32 ,,,,,,,,,
RDIMM,DIMM / Memory,single,SAMSUNG,DDR5,M321R8GA0EB2-CCP,DDR5 6400MT/s 64GB,,,,,,,,6400,64 ,,,,,,,,,
RDIMM,DIMM / Memory,single,SAMSUNG,DDR5,MDRRWM4QDBC2,DDR5 6400MT/s 96GB,,,,,,,,6400,96 ,,,,,,,,,
RDIMM,DIMM / Memory,single,SAMSUNG,DDR5,M321RAJA0MB2-CCP,DDR5 6400MT/s 128GB,,,,,,,,6400,128 ,,,,,,,,,
RDIMM,DIMM / Memory,single,SAMSUNG,DDR5,M321RBJA0M22-CLP,DDR5 6400MT/s 256GB,,,,,,,,6400,256 ,,,,,,,,,
RDIMM,DIMM / Memory,single,MICRON,DDR5,MTC10F1084S1RC56BD2,DDR5 5600MT/s 16GB,,,,,,,,5600,16 ,,,,,,,,,
RDIMM,DIMM / Memory,single,MICRON,DDR5,MTC20F2085S1RC56BD2,DDR5 5600MT/s 32GB,,,,,,,,5600,32 ,,,,,,,,,
RDIMM,DIMM / Memory,single,MICRON,DDR5,MTC40F2046S1RC56BD1 ,DDR5 5600MT/s 64GB,,,,,,,,5600,64 ,,,,,,,,,
RDIMM,DIMM / Memory,single,MICRON,DDR5,MTC10F1084S1RC64BH1,DDR5 6400MT/s 16GB,,,,,,,,6400,16 ,,,,,,,,,
RDIMM,DIMM / Memory,single,MICRON,DDR5,MTC20F1045S1RC64BD2,DDR5 6400MT/s 32GB,,,,,,,,6400,32 ,,,,,,,,,
RDIMM,DIMM / Memory,single,MICRON,DDR5,MTC20F2085S1RC64BD2,DDR5 6400MT/s 32GB,,,,,,,,6400,32 ,,,,,,,,,
RDIMM,DIMM / Memory,single,MICRON,DDR5,MTC20F2085S1RC64BH1,DDR5 6400MT/s 32GB,,,,,,,,6400,32 ,,,,,,,,,
RDIMM,DIMM / Memory,single,MICRON,DDR5,MTC40F2046S1RC64BD2,DDR5 6400MT/s 64GB,,,,,,,,6400,64 ,,,,,,,,,
RDIMM,DIMM / Memory,single,MICRON,DDR5,MTC40F2046S1RC64BH1,DDR5 6400MT/s 64GB,,,,,,,,6400,64 ,,,,,,,,,
RDIMM,DIMM / Memory,single,MICRON,DDR5,MTC40F204WS1RC64BC1,DDR5 6400MT/s 96GB,,,,,,,,6400,96 ,,,,,,,,,
RDIMM,DIMM / Memory,single,MICRON,DDR5,MTC40F2047S1RC56BB1,DDR5 6400MT/s 128GB,,,,,,,,6400,128 ,,,,,,,,,
RDIMM,DIMM / Memory,single,MICRON,DDR5,MTC40F2047S1RC64BB1 ,DDR5 6400MT/s 128GB,,,,,,,,6400,128 ,,,,,,,,,
HDD,HDD,optional,Toshiba,SATA,MG10ADA100N,"HDD, 3.5"", 1TB, SATA",,,,,,,,,1000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,Toshiba,SATA,MG10ADA200E,"HDD, 3.5"", 2TB, SATA",,,,,,,,,2000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,Toshiba,SATA,MG10ADA400E,"HDD, 3.5"", 4TB, SATA",,,,,,,,,4000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,Toshiba,SATA,MG10ADA600E,"HDD, 3.5"", 6TB, SATA",,,,,,,,,6000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,Toshiba,SATA,MG10ADA800E,"HDD, 3.5"", 8TB, SATA",,,,,,,,,8000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,Toshiba,SAS,MG10SDA800E,"HDD, 3.5"", 8TB, SAS",,,,,,,,,8000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,Toshiba,SATA,MG10ADA10TE,"HDD, 3.5"", 10TB, SATA",,,,,,,,,10000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,Toshiba,SAS,MG10SDA10TE,"HDD, 3.5"", 10TB, SAS",,,,,,,,,10000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,Toshiba,SATA,MG09ACA12TE,"HDD, 3.5"", 12TB, SATA",,,,,,,,,12000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,Toshiba,SAS,MG09SCA12TE,"HDD, 3.5"", 12TB, SAS",,,,,,,,,12000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,Toshiba,SATA,MG11ACA14TE,"HDD, 3.5"", 14TB, SATA",,,,,,,,,14000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,Toshiba,SAS,MG11SCA14TE,"HDD, 3.5"", 14TB, SAS",,,,,,,,,14000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,Toshiba,SATA,MG11ACA16TE,"HDD, 3.5"", 16TB, SATA",,,,,,,,,16000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,Toshiba,SAS,MG11SCA16TE,"HDD, 3.5"", 16TB, SAS",,,,,,,,,16000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,Toshiba,SATA,MG11ACA18TE,"HDD, 3.5"", 18TB, SATA",,,,,,,,,18000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,Toshiba,SAS,MG11SCA18TE,"HDD, 3.5"", 18TB, SAS",,,,,,,,,18000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,Toshiba,SATA,MG11ACA20TE,"HDD, 3.5"", 20TB, SATA",,,,,,,,,20000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,Toshiba,SAS,MG11SCA20TE,"HDD, 3.5"", 20TB, SAS",,,,,,,,,20000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,Toshiba,SATA,MG11ACA22TE,"HDD, 3.5"", 22TB, SATA",,,,,,,,,22000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,Toshiba,SAS,MG11SCA22TE,"HDD, 3.5"", 22TB, SAS",,,,,,,,,22000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,Toshiba,SATA,MG11ACA24TE,"HDD, 3.5"", 24TB, SATA",,,,,,,,,24000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,Toshiba,SAS,MG11SCA24TE,"HDD, 3.5"", 24TB, SAS",,,,,,,,,24000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,WD,SATA,HUS722T1TALA604,"HDD, 3.5"", 1TB, SATA",,,,,,,,,1000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,WD,SATA,HUS726T2TALA6L4,"HDD, 3.5"", 2TB, SATA",,,,,,,,,2000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,WD,SATA,HUS726T4TALE6L4 ,"HDD, 3.5"", 4TB, SATA",,,,,,,,,4000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,WD,SATA,WUS721204BLE6l4,"HDD, 3.5"", 4TB, SATA",,,,,,,,,4000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,WD,SAS,HUS726T4TAL5204,"HDD, 3.5"", 4TB, SAS",,,,,,,,,4000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,WD,SATA,HUS726T6TALE6L4 ,"HDD, 3.5"", 6TB, SATA",,,,,,,,,6000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,WD,SATA,WUS721206BLE6L4,"HDD, 3.5"", 6TB, SATA",,,,,,,,,6000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,WD,SAS,HUS726T6TAL5204,"HDD, 3.5"", 6TB, SAS",,,,,,,,,6000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,WD,SATA,HUS728T8TALE6L4 ,"HDD, 3.5"", 8TB, SATA",,,,,,,,,8000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,WD,SATA,WUS721208BLE6L4,"HDD, 3.5"", 8TB, SATA",,,,,,,,,8000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,WD,SAS,HUS728T8TAL5204,"HDD, 3.5"", 8TB, SAS",,,,,,,,,8000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,WD,SATA,WUS721010ALE6L4,"HDD, 3.5"", 10TB, SATA",,,,,,,,,10000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,WD,SATA,WUS721210BLE6L4,"HDD, 3.5"", 10TB, SATA",,,,,,,,,10000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,WD,SAS,WUS721010AL5204,"HDD, 3.5"", 10TB, SAS",,,,,,,,,10000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,WD,SATA,WUS721212BLE6L4,"HDD, 3.5"", 12TB, SATA",,,,,,,,,12000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,WD,SAS,WUH722012CL5204,"HDD, 3.5"", 12TB, SAS",,,,,,,,,12000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,WD,SATA,WUH722014CLE6L4,"HDD, 3.5"", 14TB, SATA",,,,,,,,,14000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,WD,SAS,WUH722014CL5204,"HDD, 3.5"", 14TB, SAS",,,,,,,,,14000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,WD,SATA,WUH722016CLE6L4,"HDD, 3.5"", 16TB, SATA",,,,,,,,,16000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,WD,SAS,WUH722016CL5204,"HDD, 3.5"", 16TB, SAS",,,,,,,,,16000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,WD,SATA,WUH722018CLE6L4,"HDD, 3.5"", 18TB, SATA",,,,,,,,,18000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,WD,SAS,WUH722018CL5204,"HDD, 3.5"", 18TB, SAS",,,,,,,,,18000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,WD,SATA,WUH722020CLE6L4,"HDD, 3.5"", 20TB, SATA",,,,,,,,,20000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,WD,SAS,WUH722020CL5204,"HDD, 3.5"", 20TB, SAS",,,,,,,,,20000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,WD,SATA,WUH722222ALE6L4 ,"HDD, 3.5"", 22TB, SATA",,,,,,,,,22000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,WD,SATA,WUH722422ALE6L4,"HDD, 3.5"", 22TB, SATA",,,,,,,,,22000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,WD,SAS,WUH722222AL5204,"HDD, 3.5"", 22TB, SAS",,,,,,,,,22000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,WD,SAS,WUH722422AL5204,"HDD, 3.5"", 22TB, SAS",,,,,,,,,22000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,WD,SATA,WUH722424ALE6L4 ,"HDD, 3.5"", 24TB, SATA",,,,,,,,,24000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,WD,SATA,WUH722624ALE6L4,"HDD, 3.5"", 24TB, SATA",,,,,,,,,24000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,WD,SAS,WUH722424AL5204,"HDD, 3.5"", 24TB, SAS",,,,,,,,,24000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,WD,SAS,WUH722624AL5204,"HDD, 3.5"", 24TB, SAS",,,,,,,,,24000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,WD,SATA,WUH722626ALE6L4,"HDD, 3.5"", 26TB, SATA",,,,,,,,,26000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,WD,SAS,WUH722626AL5204,"HDD, 3.5"", 26TB, SAS",,,,,,,,,26000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,Seagate,SATA,ST16000NM002H,"HDD, 3.5"", 16TB, SATA",,,,,,,,,16000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,Seagate,SAS,ST16000NM007H,"HDD, 3.5"", 16TB, SAS",,,,,,,,,16000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,Seagate,SATA,ST20000NM002H,"HDD, 3.5"", 20TB, SATA",,,,,,,,,20000 ,"3.5""",SATA,7200,,,,,,
